customer_id,risk_tier
458,Low Risk
459,Low Risk
460,Low Risk
461,Medium Risk
462,Low Risk
463,Low Risk
464,Medium Risk
465,Medium Risk
466,Medium Risk
467,Medium Risk
468,Low Risk
469,Low Risk
470,Low Risk
471,Medium Risk
472,Medium Risk
473,Low Risk
474,High Risk
475,Low Risk
476,Medium Risk
477,Medium Risk
478,Medium Risk
479,Medium Risk
480,Low Risk
481,Medium Risk
482,High Risk
483,Medium Risk
484,High Risk
485,Low Risk
486,Medium Risk
487,Low Risk
488,Low Risk
489,Low Risk
490,Low Risk
491,Low Risk
492,High Risk
493,Medium Risk
494,Low Risk
495,Low Risk
496,Low Risk
497,Medium Risk
498,High Risk
499,Low Risk
500,Medium Risk
501,Medium Risk
502,High Risk
503,Medium Risk
504,Low Risk
505,Low Risk
506,Low Risk
507,Low Risk
508,Medium Risk
509,Medium Risk
510,Low Risk
511,Medium Risk
512,Low Risk
513,Low Risk
514,High Risk
515,Medium Risk
516,Medium Risk
517,Medium Risk
518,Low Risk
519,Medium Risk
520,Low Risk
521,Medium Risk
522,Medium Risk
523,Low Risk
524,Medium Risk
525,Low Risk
526,Low Risk
527,Medium Risk
528,Medium Risk
529,Medium Risk
530,Medium Risk
531,Medium Risk
532,Medium Risk
533,High Risk
534,High Risk
535,Low Risk
536,Low Risk
537,Medium Risk
538,Medium Risk
539,Low Risk
540,High Risk
541,Low Risk
542,Medium Risk
543,High Risk
544,Low Risk
545,Low Risk
546,Low Risk
547,Medium Risk
548,Low Risk
549,Low Risk
550,Low Risk
551,High Risk
552,Low Risk
553,Medium Risk
554,Medium Risk
555,Medium Risk
556,Low Risk
557,Low Risk
558,High Risk
559,Low Risk
560,Low Risk
561,Low Risk
562,Low Risk
563,Low Risk
564,Low Risk
565,High Risk
566,Low Risk
567,Low Risk
568,Low Risk
569,Medium Risk
570,Low Risk
571,Medium Risk
572,Medium Risk
573,Low Risk
574,Low Risk
575,Low Risk
576,Medium Risk
577,Low Risk
578,Medium Risk
579,Low Risk
580,Low Risk
581,Medium Risk
582,Low Risk
583,Low Risk
584,Medium Risk
585,Medium Risk
586,Medium Risk
587,Medium Risk
588,Medium Risk
589,Medium Risk
590,Low Risk
591,Low Risk
592,Medium Risk
593,Low Risk
594,Medium Risk
595,Medium Risk
596,Medium Risk
597,Medium Risk
598,Medium Risk
599,Medium Risk
600,Medium Risk
601,Low Risk
602,Low Risk
603,Low Risk
604,High Risk
605,Medium Risk
606,High Risk
607,Low Risk
608,Medium Risk
609,Low Risk
610,Low Risk
611,Low Risk
612,Low Risk
613,Medium Risk
614,Medium Risk
615,High Risk
616,Low Risk
617,Medium Risk
618,Medium Risk
619,Medium Risk
620,Low Risk
621,Low Risk
622,Low Risk
623,Low Risk
624,Medium Risk
625,Low Risk
626,Medium Risk
627,Medium Risk
628,Low Risk
629,Medium Risk
630,Low Risk
631,Low Risk
632,Medium Risk
633,Low Risk
634,Low Risk
635,Low Risk
636,Low Risk
637,Low Risk
638,Medium Risk
639,Low Risk
640,Low Risk
641,Medium Risk
642,Low Risk
643,Low Risk
644,Low Risk
645,Medium Risk
646,Medium Risk
647,Medium Risk
648,Medium Risk
649,High Risk
650,High Risk
651,Low Risk
652,Low Risk
653,Medium Risk
654,Medium Risk
655,Medium Risk
656,Low Risk
657,Low Risk
658,Low Risk
659,Low Risk
660,Medium Risk
661,Low Risk
662,Low Risk
663,Low Risk
664,Low Risk
665,High Risk
666,Medium Risk
667,Medium Risk
668,Medium Risk
669,High Risk
670,High Risk
671,High Risk
672,Medium Risk
673,Medium Risk
674,High Risk
675,Low Risk
676,High Risk
677,High Risk
678,Medium Risk
679,Low Risk
680,Medium Risk
681,Low Risk
682,Low Risk
683,Low Risk
684,Low Risk
685,Medium Risk
686,Low Risk
687,Low Risk
688,Medium Risk
689,Medium Risk
690,Medium Risk
691,Low Risk
692,Medium Risk
693,Medium Risk
694,Medium Risk
695,Low Risk
696,Low Risk
697,Low Risk
698,Medium Risk
699,Low Risk
700,Medium Risk
701,Low Risk
702,Low Risk
703,Medium Risk
704,High Risk
705,High Risk
706,Low Risk
707,High Risk
708,High Risk
709,Medium Risk
710,Medium Risk
711,Low Risk
712,High Risk
713,Medium Risk
714,Medium Risk
715,Low Risk
716,Medium Risk
717,Medium Risk
718,Medium Risk
719,Medium Risk
720,Medium Risk
721,Medium Risk
722,Medium Risk
723,Medium Risk
724,Low Risk
725,High Risk
726,Medium Risk
727,Low Risk
728,Low Risk
729,Low Risk
730,Medium Risk
731,Low Risk
732,Medium Risk
733,Medium Risk
734,Low Risk
735,Low Risk
736,Low Risk
737,Medium Risk
738,Low Risk
739,Medium Risk
740,Medium Risk
741,Medium Risk
742,Low Risk
743,Medium Risk
744,Medium Risk
745,Low Risk
746,Low Risk
747,Low Risk
748,Medium Risk
749,Medium Risk
750,High Risk
751,Medium Risk
752,Medium Risk
753,Medium Risk
754,Low Risk
755,Low Risk
756,Low Risk
757,Low Risk
758,Medium Risk
759,Low Risk
760,High Risk
761,Medium Risk
762,Low Risk
763,Low Risk
764,Medium Risk
765,Medium Risk
766,Low Risk
767,Medium Risk
768,Low Risk
769,Low Risk
770,Low Risk
771,Low Risk
772,Low Risk
773,Medium Risk
774,Medium Risk
775,Medium Risk
776,Medium Risk
777,Low Risk
778,Low Risk
779,Medium Risk
780,Medium Risk
781,High Risk
782,Medium Risk
783,High Risk
784,Medium Risk
785,Medium Risk
786,Medium Risk
787,Low Risk
788,Low Risk
789,Low Risk
790,Low Risk
791,High Risk
792,Medium Risk
793,Low Risk
794,Medium Risk
795,Medium Risk
796,Medium Risk
797,Low Risk
798,Low Risk
799,High Risk
800,Low Risk
801,Low Risk
802,High Risk
803,Low Risk
804,Low Risk
805,Low Risk
806,Low Risk
807,Medium Risk
808,High Risk
809,Medium Risk
810,Low Risk
811,Medium Risk
812,Low Risk
813,Medium Risk
814,Low Risk
815,High Risk
816,Medium Risk
817,Medium Risk
818,Medium Risk
819,Low Risk
820,Low Risk
821,Low Risk
822,Medium Risk
823,Medium Risk
824,High Risk
825,Low Risk
826,Medium Risk
827,Medium Risk
828,Medium Risk
829,Low Risk
830,Low Risk
831,Low Risk
832,High Risk
833,Low Risk
834,Low Risk
835,Medium Risk
836,Low Risk
837,High Risk
838,Low Risk
839,Low Risk
840,Medium Risk
841,Medium Risk
842,Low Risk
843,Low Risk
844,Medium Risk
845,Medium Risk
846,Low Risk
847,Low Risk
848,Medium Risk
849,High Risk
850,Medium Risk
851,High Risk
852,High Risk
853,Low Risk
854,Low Risk
855,Low Risk
856,Medium Risk
857,High Risk
858,High Risk
859,High Risk
860,Medium Risk
861,Low Risk
862,Low Risk
863,High Risk
864,High Risk
865,Low Risk
866,Medium Risk
867,Low Risk
868,Low Risk
869,Medium Risk
870,High Risk
871,Medium Risk
872,Medium Risk
873,Low Risk
874,Low Risk
875,Low Risk
876,High Risk
877,Low Risk
878,Low Risk
879,Low Risk
880,Medium Risk
881,Low Risk
882,Medium Risk
883,Medium Risk
884,Medium Risk
885,Medium Risk
886,Medium Risk
887,Low Risk
888,Low Risk
889,Medium Risk
890,Low Risk
891,Low Risk
892,High Risk
893,Low Risk
894,Low Risk
895,Low Risk
896,Low Risk
897,High Risk
898,High Risk
899,Medium Risk
900,Low Risk
901,Low Risk
902,Low Risk
903,Medium Risk
904,Low Risk
905,Medium Risk
906,Medium Risk
907,High Risk
908,Low Risk
909,Low Risk
910,Low Risk
911,High Risk
912,Medium Risk
913,Medium Risk
914,Medium Risk
915,Low Risk
916,Low Risk
917,Low Risk
918,Medium Risk
919,High Risk
920,Low Risk
921,Medium Risk
922,Medium Risk
923,Low Risk
924,Medium Risk
925,Medium Risk
926,Medium Risk
927,Low Risk
928,Medium Risk
929,Low Risk
930,Low Risk
931,Low Risk
932,Low Risk
933,Medium Risk
934,High Risk
935,Low Risk
936,Low Risk
937,Medium Risk
938,Medium Risk
939,High Risk
940,Low Risk
941,Medium Risk
942,Low Risk
943,Low Risk
944,High Risk
945,Low Risk
946,Low Risk
947,Medium Risk
948,Medium Risk
949,Low Risk
950,Medium Risk
951,Low Risk
952,Medium Risk
953,Low Risk
954,Low Risk
955,Low Risk
956,Medium Risk
957,Low Risk
958,Low Risk
959,Low Risk
960,Low Risk
961,High Risk
962,Low Risk
963,Low Risk
964,Medium Risk
965,Low Risk
966,Medium Risk
967,Medium Risk
968,Low Risk
969,High Risk
970,Low Risk
971,Low Risk
972,Medium Risk
973,High Risk
974,Low Risk
975,Medium Risk
976,Medium Risk
977,High Risk
978,Low Risk
979,Low Risk
980,Medium Risk
981,Medium Risk
982,High Risk
983,Low Risk
984,Medium Risk
985,Medium Risk
986,Medium Risk
987,Low Risk
988,Low Risk
989,High Risk
990,High Risk
991,Medium Risk
992,Medium Risk
993,Medium Risk
994,Low Risk
995,Medium Risk
996,Low Risk
997,Medium Risk
998,Medium Risk
999,Low Risk
1000,Medium Risk
1001,Medium Risk
1002,Low Risk
1003,Low Risk
1004,Medium Risk
1005,Low Risk
1006,Low Risk
1007,Low Risk
1008,Medium Risk
1009,High Risk
1010,Low Risk
1011,Medium Risk
1012,Medium Risk
1013,Low Risk
1014,Medium Risk
1015,Low Risk
1016,Medium Risk
1017,Low Risk
1018,Medium Risk
1019,Medium Risk
1020,Low Risk
1021,Medium Risk
1022,Medium Risk
1023,Medium Risk
1024,Low Risk
1025,Low Risk
1026,Medium Risk
1027,Low Risk
1028,Low Risk
1029,Medium Risk
1030,Medium Risk
1031,Low Risk
1032,Low Risk
1033,Medium Risk
1034,Low Risk
1035,Medium Risk
1036,Medium Risk
1037,Medium Risk
1038,Medium Risk
1039,Medium Risk
1040,Low Risk
1041,Low Risk
1042,Medium Risk
1043,Medium Risk
1044,Medium Risk
1045,High Risk
1046,Medium Risk
1047,Medium Risk
1048,High Risk
1049,Low Risk
1050,Medium Risk
1051,High Risk
1052,Low Risk
1053,Medium Risk
1054,Medium Risk
1055,Medium Risk
1056,Medium Risk
1057,Medium Risk
1058,Medium Risk
1059,Low Risk
1060,Medium Risk
1061,Medium Risk
1062,Low Risk
1063,Medium Risk
1064,Low Risk
1065,High Risk
1066,Medium Risk
1067,Medium Risk
1068,Low Risk
1069,Low Risk
1070,Medium Risk
1071,Low Risk
1072,Low Risk
1073,Low Risk
1074,Low Risk
1075,Medium Risk
1076,Medium Risk
1077,Low Risk
1078,Low Risk
1079,Low Risk
1080,Medium Risk
1081,Low Risk
1082,High Risk
1083,High Risk
1084,High Risk
1085,Medium Risk
1086,Medium Risk
1087,Medium Risk
1088,Medium Risk
1089,Medium Risk
1090,Low Risk
1091,Low Risk
1092,Medium Risk
1093,Medium Risk
1094,Medium Risk
1095,Medium Risk
1096,Low Risk
1097,Low Risk
1098,Medium Risk
1099,Low Risk
1100,Low Risk
1101,Medium Risk
1102,High Risk
1103,High Risk
1104,Low Risk
1105,High Risk
1106,Low Risk
1107,Low Risk
1108,Low Risk
1109,Medium Risk
1110,Medium Risk
1111,High Risk
1112,Low Risk
1113,Medium Risk
1114,Low Risk
1115,Medium Risk
1116,Low Risk
1117,Low Risk
1118,Medium Risk
1119,Medium Risk
1120,Medium Risk
1121,Medium Risk
1122,High Risk
1123,Medium Risk
1124,Low Risk
1125,Medium Risk
1126,Low Risk
1127,Low Risk
1128,Low Risk
1129,Medium Risk
1130,High Risk
1131,Medium Risk
1132,Medium Risk
1133,High Risk
1134,High Risk
1135,High Risk
1136,Medium Risk
1137,Low Risk
1138,Low Risk
1139,Medium Risk
1140,Medium Risk
1141,Low Risk
1142,Medium Risk
1143,Low Risk
1144,Low Risk
1145,Medium Risk
1146,High Risk
1147,High Risk
1148,Medium Risk
1149,High Risk
1150,Medium Risk
1151,Low Risk
1152,High Risk
1153,High Risk
1154,Low Risk
1155,Medium Risk
1156,Low Risk
1157,Low Risk
1158,Medium Risk
1159,Low Risk
1160,High Risk
1161,Medium Risk
1162,Low Risk
1163,Low Risk
1164,Low Risk
1165,Low Risk
1166,Medium Risk
1167,Medium Risk
1168,Medium Risk
1169,Low Risk
1170,Low Risk
1171,Medium Risk
1172,Low Risk
1173,Low Risk
1174,Low Risk
1175,Low Risk
1176,High Risk
1177,Low Risk
1178,Medium Risk
1179,Medium Risk
1180,Medium Risk
1181,Low Risk
1182,Medium Risk
1183,Medium Risk
1184,Medium Risk
1185,Medium Risk
1186,Low Risk
1187,Low Risk
1188,Low Risk
1189,Low Risk
1190,Medium Risk
1191,Low Risk
1192,Low Risk
1193,Low Risk
1194,Low Risk
1195,Medium Risk
1196,Low Risk
1197,Medium Risk
1198,Medium Risk
1199,Medium Risk
1200,Low Risk
1201,Medium Risk
1202,Low Risk
1203,Medium Risk
1204,Medium Risk
1205,Medium Risk
1206,Medium Risk
1207,High Risk
1208,Medium Risk
1209,Low Risk
1210,Medium Risk
1211,Medium Risk
1212,Low Risk
1213,Low Risk
1214,Medium Risk
1215,Low Risk
1216,Medium Risk
1217,Low Risk
1218,Medium Risk
1219,Low Risk
1220,Medium Risk
1221,Medium Risk
1222,Low Risk
1223,Low Risk
1224,Low Risk
1225,Low Risk
1226,Low Risk
1227,Low Risk
1228,Low Risk
1229,Low Risk
1230,Medium Risk
1231,Medium Risk
1232,Low Risk
1233,High Risk
1234,Low Risk
1235,High Risk
1236,Medium Risk
1237,Medium Risk
1238,Low Risk
1239,Medium Risk
1240,Low Risk
1241,Low Risk
1242,Medium Risk
1243,Low Risk
1244,High Risk
1245,Medium Risk
1246,Low Risk
1247,High Risk
1248,Low Risk
1249,Medium Risk
1250,High Risk
1251,Medium Risk
1252,Low Risk
1253,Medium Risk
1254,Medium Risk
1255,Medium Risk
1256,Medium Risk
1257,Low Risk
1258,Low Risk
1259,Low Risk
1260,Medium Risk
1261,Low Risk
1262,Medium Risk
1263,Medium Risk
1264,Medium Risk
1265,Medium Risk
1266,Medium Risk
1267,Medium Risk
1268,High Risk
1269,Medium Risk
1270,Low Risk
1271,Medium Risk
1272,Medium Risk
1273,Low Risk
1274,Low Risk
1275,Medium Risk
1276,Low Risk
1277,Low Risk
1278,Medium Risk
1279,Low Risk
1280,Low Risk
1281,Low Risk
1282,Medium Risk
1283,Medium Risk
1284,Low Risk
1285,Low Risk
1286,Low Risk
1287,Low Risk
1288,Low Risk
1289,High Risk
1290,Medium Risk
1291,Medium Risk
1292,Medium Risk
1293,Medium Risk
1294,Low Risk
1295,Medium Risk
1296,Low Risk
1297,High Risk
1298,Low Risk
1299,Low Risk
1300,Medium Risk
1301,High Risk
1302,Medium Risk
1303,Medium Risk
1304,Medium Risk
1305,Low Risk
1306,Low Risk
1307,Low Risk
1308,Low Risk
1309,Medium Risk
1310,Medium Risk
1311,High Risk
1312,High Risk
1313,Low Risk
1314,Low Risk
1315,Medium Risk
1316,Medium Risk
1317,Low Risk
1318,Low Risk
1319,Medium Risk
1320,Low Risk
1321,Low Risk
1322,Medium Risk
1323,Medium Risk
1324,Medium Risk
1325,Medium Risk
1326,Medium Risk
1327,Medium Risk
1328,Medium Risk
1329,Medium Risk
1330,Medium Risk
1331,Low Risk
1332,Medium Risk
1333,Medium Risk
1334,Low Risk
1335,Low Risk
1336,Medium Risk
1337,High Risk
1338,Low Risk
1339,Low Risk
1340,Medium Risk
1341,Low Risk
1342,Low Risk
1343,Low Risk
1344,Medium Risk
1345,Low Risk
1346,Medium Risk
1347,Medium Risk
1348,Medium Risk
1349,Low Risk
1350,Medium Risk
1351,Medium Risk
1352,Low Risk
1353,Low Risk
1354,Medium Risk
1355,Low Risk
1356,Low Risk
1357,Medium Risk
1358,High Risk
1359,Medium Risk
1360,Low Risk
1361,Low Risk
1362,Low Risk
1363,High Risk
1364,Medium Risk
1365,High Risk
1366,Medium Risk
1367,Low Risk
1368,Medium Risk
1369,High Risk
1370,Medium Risk
1371,Low Risk
1372,Low Risk
1373,High Risk
1374,Medium Risk
1375,Low Risk
1376,Medium Risk
1377,Low Risk
1378,Low Risk
1379,Medium Risk
1380,High Risk
1381,High Risk
1382,Medium Risk
1383,Medium Risk
1384,Low Risk
1385,Low Risk
1386,Low Risk
1387,Low Risk
1388,High Risk
1389,Medium Risk
1390,Medium Risk
1391,High Risk
1392,Low Risk
1393,Low Risk
1394,Medium Risk
1395,Low Risk
1396,Low Risk
1397,High Risk
1398,Low Risk
1399,Medium Risk
1400,Medium Risk
1401,Low Risk
1402,Medium Risk
1403,Low Risk
1404,Low Risk
1405,Low Risk
1406,Low Risk
1407,Low Risk
1408,Medium Risk
1409,Medium Risk
1410,Low Risk
1411,Low Risk
1412,Low Risk
1413,Low Risk
1414,Low Risk
1415,Low Risk
1416,Medium Risk
1417,Low Risk
1418,High Risk
1419,Medium Risk
1420,Low Risk
1421,Low Risk
1422,Low Risk
1423,Medium Risk
1424,Medium Risk
1425,Medium Risk
1426,Low Risk
1427,Low Risk
1428,High Risk
1429,High Risk
1430,Medium Risk
1431,Medium Risk
1432,High Risk
1433,High Risk
1434,Medium Risk
1435,Low Risk
1436,High Risk
1437,Medium Risk
1438,Medium Risk
1439,Medium Risk
1440,Medium Risk
1441,High Risk
1442,Low Risk
1443,Low Risk
1444,Low Risk
1445,High Risk
1446,High Risk
1447,Medium Risk
1448,Medium Risk
1449,Medium Risk
1450,Medium Risk
1451,Low Risk
1452,Low Risk
1453,Low Risk
1454,Medium Risk
1455,High Risk
1456,Medium Risk
1457,Medium Risk
1458,Medium Risk
1459,Low Risk
1460,High Risk
1461,High Risk
1462,Medium Risk
1463,Medium Risk
1464,Low Risk
1465,Low Risk
1466,Medium Risk
1467,Medium Risk
1468,Low Risk
1469,Low Risk
1470,Medium Risk
1471,Low Risk
1472,Medium Risk
1473,Low Risk
1474,Low Risk
1475,Medium Risk
1476,Medium Risk
1477,Low Risk
1478,Low Risk
1479,Medium Risk
1480,Medium Risk
1481,Low Risk
1482,Low Risk
1483,Low Risk
1484,Low Risk
1485,Medium Risk
1486,High Risk
1487,Low Risk
1488,Medium Risk
1489,High Risk
1490,High Risk
1491,Low Risk
1492,Medium Risk
1493,Medium Risk
1494,Low Risk
1495,Low Risk
1496,High Risk
1497,High Risk
1498,Medium Risk
1499,Medium Risk
1500,Medium Risk
1501,Low Risk
1502,Medium Risk
1503,Low Risk
1504,Medium Risk
1505,Low Risk
1506,Low Risk
1507,Low Risk
1508,Medium Risk
1509,Medium Risk
1510,High Risk
1511,Medium Risk
1512,Medium Risk
1513,Medium Risk
1514,Medium Risk
1515,Medium Risk
1516,Medium Risk
1517,Medium Risk
1518,High Risk
1519,Medium Risk
1520,Low Risk
1521,Medium Risk
1522,High Risk
1523,Medium Risk
1524,High Risk
1525,Low Risk
1526,High Risk
1527,Medium Risk
1528,Low Risk
1529,Medium Risk
1530,Low Risk
1531,Low Risk
1532,Low Risk
1533,High Risk
1534,Low Risk
1535,Low Risk
1536,Medium Risk
1537,Medium Risk
1538,Medium Risk
1539,Low Risk
1540,Medium Risk
1541,Medium Risk
1542,Medium Risk
1543,Medium Risk
1544,Low Risk
1545,Medium Risk
1546,Low Risk
1547,Low Risk
1548,Medium Risk
1549,Medium Risk
1550,High Risk
1551,Medium Risk
1552,Low Risk
1553,Medium Risk
1554,Medium Risk
1555,Medium Risk
1556,Low Risk
1557,Medium Risk
1558,Low Risk
1559,High Risk
1560,Medium Risk
1561,Low Risk
1562,Medium Risk
1563,Medium Risk
1564,Medium Risk
1565,Low Risk
1566,Low Risk
1567,Low Risk
1568,Medium Risk
1569,Medium Risk
1570,Low Risk
1571,Medium Risk
1572,High Risk
1573,Medium Risk
1574,Medium Risk
1575,Medium Risk
1576,Medium Risk
1577,Low Risk
1578,Medium Risk
1579,Medium Risk
1580,Low Risk
1581,Medium Risk
1582,Medium Risk
1583,Low Risk
1584,Medium Risk
1585,Medium Risk
1586,Low Risk
1587,Low Risk
1588,Low Risk
1589,Low Risk
1590,Medium Risk
1591,Low Risk
1592,High Risk
1593,Low Risk
1594,Low Risk
1595,Low Risk
1596,Medium Risk
1597,Medium Risk
1598,Medium Risk
1599,Low Risk
1600,Medium Risk
1601,Low Risk
1602,Medium Risk
1603,Medium Risk
1604,Low Risk
