month_pair,from_bucket,to_bucket,account_count,pct_of_accounts,from_node,to_node,transition_label
3->4,30-DPD,30-DPD,2,50.0,3: 30-DPD,4: 30-DPD,30-DPD -> 30-DPD
3->4,30-DPD,60-DPD,1,25.0,3: 30-DPD,4: 60-DPD,30-DPD -> 60-DPD
3->4,30-DPD,Current,1,25.0,3: 30-DPD,4: Current,30-DPD -> Current
3->4,60-DPD,60-DPD,2060,53.940822204765645,3: 60-DPD,4: 60-DPD,60-DPD -> 60-DPD
3->4,60-DPD,90+-DPD,58,1.5187221785807803,3: 60-DPD,4: 90+-DPD,60-DPD -> 90+-DPD
3->4,60-DPD,90-DPD,78,2.04241948153967,3: 60-DPD,4: 90-DPD,60-DPD -> 90-DPD
3->4,60-DPD,Current,1623,42.49803613511391,3: 60-DPD,4: Current,60-DPD -> Current
3->4,90+-DPD,90+-DPD,103,68.66666666666667,3: 90+-DPD,4: 90+-DPD,90+-DPD -> 90+-DPD
3->4,90+-DPD,90-DPD,47,31.333333333333336,3: 90+-DPD,4: 90-DPD,90+-DPD -> 90-DPD
3->4,90-DPD,60-DPD,204,85.0,3: 90-DPD,4: 60-DPD,90-DPD -> 60-DPD
3->4,90-DPD,90+-DPD,3,1.25,3: 90-DPD,4: 90+-DPD,90-DPD -> 90+-DPD
3->4,90-DPD,90-DPD,33,13.750000000000002,3: 90-DPD,4: 90-DPD,90-DPD -> 90-DPD
3->4,Current,60-DPD,894,3.466863148097879,3: Current,4: 60-DPD,Current -> 60-DPD
3->4,Current,90+-DPD,5,0.0193896149222476,3: Current,4: 90+-DPD,Current -> 90+-DPD
3->4,Current,90-DPD,22,0.0853143056578896,3: Current,4: 90-DPD,Current -> 90-DPD
3->4,Current,Current,24866,96.42843293132198,3: Current,4: Current,Current -> Current
4->5,30-DPD,60-DPD,1,50.0,4: 30-DPD,5: 60-DPD,30-DPD -> 60-DPD
4->5,30-DPD,Current,1,50.0,4: 30-DPD,5: Current,30-DPD -> Current
4->5,60-DPD,60-DPD,1805,57.1383349161127,4: 60-DPD,5: 60-DPD,60-DPD -> 60-DPD
4->5,60-DPD,90+-DPD,22,0.6964229186451408,4: 60-DPD,5: 90+-DPD,60-DPD -> 90+-DPD
4->5,60-DPD,90-DPD,78,2.469135802469136,4: 60-DPD,5: 90-DPD,60-DPD -> 90-DPD
4->5,60-DPD,Current,1254,39.69610636277303,4: 60-DPD,5: Current,60-DPD -> Current
4->5,90+-DPD,90+-DPD,130,76.92307692307693,4: 90+-DPD,5: 90+-DPD,90+-DPD -> 90+-DPD
4->5,90+-DPD,90-DPD,39,23.07692307692308,4: 90+-DPD,5: 90-DPD,90+-DPD -> 90-DPD
4->5,90-DPD,60-DPD,131,72.77777777777777,4: 90-DPD,5: 60-DPD,90-DPD -> 60-DPD
4->5,90-DPD,90+-DPD,8,4.444444444444445,4: 90-DPD,5: 90+-DPD,90-DPD -> 90+-DPD
4->5,90-DPD,90-DPD,41,22.77777777777778,4: 90-DPD,5: 90-DPD,90-DPD -> 90-DPD
4->5,Current,60-DPD,689,2.6009815024537564,4: Current,5: 60-DPD,Current -> 60-DPD
4->5,Current,90+-DPD,4,0.0151000377500943,4: Current,5: 90+-DPD,Current -> 90+-DPD
4->5,Current,90-DPD,20,0.0755001887504718,4: Current,5: 90-DPD,Current -> 90-DPD
4->5,Current,Current,25777,97.30841827104568,4: Current,5: Current,Current -> Current
5->6,60-DPD,60-DPD,1702,64.81340441736482,5: 60-DPD,6: 60-DPD,60-DPD -> 60-DPD
5->6,60-DPD,90+-DPD,15,0.5712109672505713,5: 60-DPD,6: 90+-DPD,60-DPD -> 90+-DPD
5->6,60-DPD,90-DPD,47,1.78979436405179,5: 60-DPD,6: 90-DPD,60-DPD -> 90-DPD
5->6,60-DPD,Current,862,32.82559025133283,5: 60-DPD,6: Current,60-DPD -> Current
5->6,90+-DPD,90+-DPD,105,64.02439024390245,5: 90+-DPD,6: 90+-DPD,90+-DPD -> 90+-DPD
5->6,90+-DPD,90-DPD,59,35.97560975609756,5: 90+-DPD,6: 90-DPD,90+-DPD -> 90-DPD
5->6,90-DPD,60-DPD,134,75.28089887640449,5: 90-DPD,6: 60-DPD,90-DPD -> 60-DPD
5->6,90-DPD,90+-DPD,7,3.932584269662921,5: 90-DPD,6: 90+-DPD,90-DPD -> 90+-DPD
5->6,90-DPD,90-DPD,37,20.786516853932586,5: 90-DPD,6: 90-DPD,90-DPD -> 90-DPD
5->6,Current,60-DPD,930,3.440366972477064,5: Current,6: 60-DPD,Current -> 60-DPD
5->6,Current,90+-DPD,2,0.0073986386504883,5: Current,6: 90+-DPD,Current -> 90+-DPD
5->6,Current,90-DPD,41,0.1516720923350103,5: Current,6: 90-DPD,Current -> 90-DPD
5->6,Current,Current,26059,96.40056229653744,5: Current,6: Current,Current -> Current
