customer_id,risk_tier,risk_score,recommended_action,action_reason,action_priority,credit_limit_usd,expected_loss_usd,avg_utilization,on_time_months,max_delinquency,consecutive_delays,balance_volatility,default_next_month
17757,High Risk,0.9966719,Priority collections review,Severe delinquency history,High,322.5806451612903,321.50706451612905,0.24,0,7,6,0.0,1
16933,High Risk,0.9963547,Priority collections review,Severe delinquency history,High,645.1612903225806,642.8094838709677,0.11275,0,7,6,0.0,1
11075,High Risk,0.99630725,Hardship outreach,Persistent delayed payments,High,8387.096774193547,8356.125322580643,0.0096153846153846,0,2,6,0.0,1
12019,High Risk,0.99630725,Hardship outreach,Persistent delayed payments,High,8387.096774193547,8356.125322580643,0.0096153846153846,0,2,6,0.0,1
14951,High Risk,0.99630725,Hardship outreach,Persistent delayed payments,High,8064.516129032258,8034.735887096774,0.009948,0,2,6,0.0,1
12956,High Risk,0.9963026,Hardship outreach,Persistent delayed payments,High,9032.258064516129,8998.862193548388,0.0089285714285714,0,2,6,0.0,1
16001,High Risk,0.99618965,Priority collections review,Severe delinquency history,High,645.1612903225806,642.703,0.12,0,7,6,0.0,1
20722,High Risk,0.99618965,Priority collections review,Severe delinquency history,High,645.1612903225806,642.703,0.12,0,7,6,0.0,1
24168,High Risk,0.99618965,Priority collections review,Severe delinquency history,High,645.1612903225806,642.703,0.12,0,7,6,0.0,1
28055,High Risk,0.99618965,Priority collections review,Severe delinquency history,High,645.1612903225806,642.703,0.12,0,7,6,0.0,1
29580,High Risk,0.99618965,Priority collections review,Severe delinquency history,High,645.1612903225806,642.703,0.12,0,7,6,0.0,1
29771,High Risk,0.99618965,Priority collections review,Severe delinquency history,High,645.1612903225806,642.703,0.12,0,7,6,0.0,1
1486,High Risk,0.99604416,Priority collections review,Severe delinquency history,High,645.1612903225806,642.6091354838709,0.1149999999999999,0,7,6,244.94897427831785,1
6041,High Risk,0.99604416,Priority collections review,Severe delinquency history,High,645.1612903225806,642.6091354838709,0.1149999999999999,0,7,6,244.94897427831785,1
26606,High Risk,0.99604416,Priority collections review,Severe delinquency history,High,645.1612903225806,642.6091354838709,0.1149999999999999,0,7,6,244.94897427831785,1
28852,High Risk,0.99600756,Priority collections review,Severe delinquency history,High,7096.774193548387,7068.440748387097,0.0113636363636363,0,3,6,0.0,1
29992,High Risk,0.99600756,Priority collections review,Severe delinquency history,High,6774.193548387097,6747.147987096774,0.0119047619047619,0,3,6,0.0,1
16555,High Risk,0.99594384,Priority collections review,Severe delinquency history,High,322.5806451612903,321.2722064516129,0.23,0,7,6,0.0,1
25054,High Risk,0.9956626,Priority collections review,Severe delinquency history,High,16129.032258064515,16059.074193548386,0.009914,0,3,6,0.0,1
6272,High Risk,0.9952081,Priority collections review,Severe delinquency history,High,322.5806451612903,321.03487096774194,0.2299999999999999,0,7,6,244.94897427831785,1
17863,High Risk,0.9952081,Priority collections review,Severe delinquency history,High,322.5806451612903,321.03487096774194,0.2299999999999999,0,7,6,244.94897427831785,1
9871,High Risk,0.99509805,Hardship outreach,Persistent delayed payments,High,3548.3870967741937,3530.993080645161,0.0054545454545454,0,2,6,0.0,1
14915,High Risk,0.9945859,Hardship outreach,Persistent delayed payments,High,967.741935483871,962.5024838709678,0.0066666666666666,0,2,6,0.0,1
3879,High Risk,0.9944857,Priority collections review,Severe delinquency history,High,645.1612903225806,641.6036774193548,0.0525,0,3,6,0.0,1
11706,High Risk,0.9944857,Priority collections review,Severe delinquency history,High,645.1612903225806,641.6036774193548,0.0525,0,3,6,0.0,0
11988,High Risk,0.9944857,Priority collections review,Severe delinquency history,High,645.1612903225806,641.6036774193548,0.0525,0,3,6,0.0,1
18095,High Risk,0.9944857,Priority collections review,Severe delinquency history,High,645.1612903225806,641.6036774193548,0.0525,0,3,6,0.0,1
24026,High Risk,0.9944857,Priority collections review,Severe delinquency history,High,645.1612903225806,641.6036774193548,0.0525,0,3,6,0.0,1
24398,High Risk,0.9944857,Priority collections review,Severe delinquency history,High,645.1612903225806,641.6036774193548,0.0525,0,3,6,0.0,1
27193,High Risk,0.9944607,Priority collections review,Severe delinquency history,High,8064.516129032258,8019.844354838709,0.01,0,3,6,0.0,1
27537,High Risk,0.9943422,Priority collections review,Severe delinquency history,High,8064.516129032258,8018.888709677419,0.009948,0,3,6,0.0,1
15948,High Risk,0.99374443,Priority collections review,Severe delinquency history,High,967.741935483871,961.6881580645162,0.08,0,7,6,0.0,1
17875,High Risk,0.99374443,Priority collections review,Severe delinquency history,High,967.741935483871,961.6881580645162,0.08,0,7,6,0.0,1
28221,High Risk,0.99374443,Priority collections review,Severe delinquency history,High,967.741935483871,961.6881580645162,0.08,0,7,6,0.0,1
14974,High Risk,0.9931738,Priority collections review,Severe delinquency history,High,967.741935483871,961.135935483871,0.0798333333333333,0,7,6,0.0,1
15139,High Risk,0.9931738,Priority collections review,Severe delinquency history,High,967.741935483871,961.135935483871,0.0798333333333333,0,7,6,0.0,1
1147,High Risk,0.9931017,Priority collections review,Severe delinquency history,High,2258.064516129032,2242.4877096774194,0.0342857142857142,0,7,6,0.0,1
514,High Risk,0.9930496,Hardship outreach,Persistent delayed payments,High,1612.9032258064515,1601.6929032258063,0.6308633333333334,0,2,6,1292.1701771309638,1
863,High Risk,0.9928362,Priority collections review,Severe delinquency history,High,967.741935483871,960.8092258064515,0.0816666666666666,0,7,6,0.0,1
14862,High Risk,0.9928362,Priority collections review,Severe delinquency history,High,967.741935483871,960.8092258064515,0.085,0,7,6,0.0,1
20524,High Risk,0.9927107,Hardship outreach,Persistent delayed payments,High,1935.483870967742,1921.3755483870966,0.6269527777777778,0,2,6,1716.779824749425,1
22760,High Risk,0.9925494,Priority collections review,Severe delinquency history,High,14838.709677419354,14728.152387096774,0.0057608695652173,0,3,6,0.0,1
10354,High Risk,0.99251634,Hardship outreach,Persistent delayed payments,High,645.1612903225806,640.3331225806452,0.5657333333333333,2,2,3,1273.6601849263666,1
17775,High Risk,0.99246395,Hardship outreach,Persistent delayed payments,High,3548.3870967741937,3521.6462741935484,0.8543333333333334,2,2,3,1924.5729569612752,1
17248,High Risk,0.9922897,Priority collections review,Severe delinquency history,High,11612.90322580645,11523.364258064516,0.0069444444444444,0,3,6,0.0,1
2406,High Risk,0.9922787,Priority collections review,Severe delinquency history,High,1612.9032258064515,1600.449516129032,0.0479999999999999,0,7,6,0.0,1
7881,High Risk,0.9922787,Priority collections review,Severe delinquency history,High,1612.9032258064515,1600.449516129032,0.0479999999999999,0,7,6,0.0,1
10802,High Risk,0.9922787,Priority collections review,Severe delinquency history,High,1612.9032258064515,1600.449516129032,0.0479999999999999,0,7,6,0.0,1
12825,High Risk,0.9922787,Priority collections review,Severe delinquency history,High,1612.9032258064515,1600.449516129032,0.0479999999999999,0,7,6,0.0,1
28748,High Risk,0.9922787,Priority collections review,Severe delinquency history,High,1612.9032258064515,1600.449516129032,0.0479999999999999,0,7,6,0.0,0
29524,High Risk,0.9922787,Priority collections review,Severe delinquency history,High,1612.9032258064515,1600.449516129032,0.0479999999999999,0,7,6,0.0,1
15988,High Risk,0.99221593,Hardship outreach,Persistent delayed payments,High,1612.9032258064515,1600.3482741935481,0.6209433333333334,0,2,6,1377.5567380934503,1
29152,High Risk,0.99196506,Priority collections review,Severe delinquency history,High,967.741935483871,959.9661870967742,0.065,0,7,6,0.0,1
3993,High Risk,0.9919299,Priority collections review,Severe delinquency history,High,645.1612903225806,639.9547741935484,0.9371833333333336,0,3,6,1191.0134620006052,1
6927,High Risk,0.9919036,Hardship outreach,Persistent delayed payments,High,1935.483870967742,1919.8134193548387,1.0615,2,2,3,2214.70684290269,1
19557,High Risk,0.99169743,Hardship outreach,Persistent delayed payments,High,967.741935483871,959.7071903225807,0.6193222222222222,2,2,3,2139.071917132911,1
21274,High Risk,0.9916767,Hardship outreach,Persistent delayed payments,High,2258.064516129032,2239.2699677419355,0.62045,0,2,6,1675.4852133038955,1
12030,High Risk,0.9916353,Hardship outreach,Persistent delayed payments,High,1612.9032258064515,1599.4117741935484,0.8415533333333333,2,2,3,1792.4264745497003,1
16503,High Risk,0.99159425,Hardship outreach,Persistent delayed payments,High,645.1612903225806,639.7382258064516,0.7897916666666666,2,2,3,1478.1035710215529,1
13740,High Risk,0.99157554,Priority collections review,Severe delinquency history,High,1290.3225806451612,1279.4523096774194,0.06,0,7,6,0.0,1
13967,High Risk,0.99157554,Priority collections review,Severe delinquency history,High,1290.3225806451612,1279.4523096774194,0.06,0,7,6,0.0,1
28298,High Risk,0.9915524,Priority collections review,Severe delinquency history,High,967.741935483871,959.5668387096774,0.8538444444444444,0,3,6,783.2186582728137,1
18371,High Risk,0.9915454,Hardship outreach,Persistent delayed payments,High,967.741935483871,959.560064516129,0.559988888888889,2,2,3,1607.9265737796195,1
671,High Risk,0.9912356,Hardship outreach,Persistent delayed payments,High,967.741935483871,959.2602580645162,1.5298611111111111,1,2,4,26415.39127415429,0
12036,High Risk,0.99113,Priority collections review,Severe delinquency history,High,967.741935483871,959.158064516129,0.0882,0,7,6,0.0,0
21961,High Risk,0.9910863,Priority collections review,Severe delinquency history,High,1612.9032258064515,1598.5262903225805,0.0478333333333333,0,7,6,20.412414523193156,1
16512,High Risk,0.990908,Priority collections review,Severe delinquency history,High,645.1612903225806,639.2954838709677,0.8564583333333334,0,3,6,867.5430632923456,1
11662,High Risk,0.9908879,Hardship outreach,Persistent delayed payments,High,967.741935483871,958.9237741935484,0.6142,2,2,3,1540.747091511128,1
22806,High Risk,0.99077356,Hardship outreach,Persistent delayed payments,High,967.741935483871,958.8131225806452,0.1664444444444444,2,2,3,1861.8558125340069,1
14692,High Risk,0.9907018,Hardship outreach,Persistent delayed payments,High,645.1612903225806,639.1624516129032,0.6837,0,2,6,961.2776914086792,1
3044,High Risk,0.9906775,Hardship outreach,Persistent delayed payments,High,2258.064516129032,2237.0137096774192,0.6534880952380951,2,2,3,2119.998058175211,1
5714,High Risk,0.9906218,Priority collections review,Severe delinquency history,High,967.741935483871,958.6662580645161,0.9457833333333334,2,3,2,1719.3909095956044,0
26915,High Risk,0.99045056,Hardship outreach,Persistent delayed payments,High,4838.709677419355,4792.502709677419,0.2617466666666667,0,2,6,5145.060504989227,1
13263,High Risk,0.99043673,Hardship outreach,Persistent delayed payments,High,1290.3225806451612,1277.9828774193547,0.7283749999999999,2,2,3,2412.240866911926,1
28634,High Risk,0.99043006,Hardship outreach,Persistent delayed payments,High,1935.483870967742,1916.961406451613,0.6658638888888889,2,2,3,7580.267077528777,1
14653,High Risk,0.9903486,Hardship outreach,Persistent delayed payments,High,967.741935483871,958.401870967742,0.5179888888888889,0,2,6,853.5848327299792,1
8655,High Risk,0.9902535,Priority collections review,Severe delinquency history,High,967.741935483871,958.3098387096775,0.08,0,8,6,0.0,1
18111,High Risk,0.99023634,Hardship outreach,Persistent delayed payments,High,3548.3870967741937,3513.7418516129037,0.6319621212121213,2,2,3,2999.8368233400074,1
13963,High Risk,0.9902075,Hardship outreach,Persistent delayed payments,High,967.741935483871,958.2653225806451,0.8726722222222224,2,2,3,1557.3729696725402,1
16786,High Risk,0.9900572,Hardship outreach,Persistent delayed payments,High,1935.483870967742,1916.2397419354838,0.7463861111111111,2,2,3,1767.0328142585995,1
7216,High Risk,0.9897556,Priority collections review,Severe delinquency history,High,967.741935483871,957.828,0.9317388888888888,0,3,6,1276.5806541956786,1
6828,High Risk,0.98974305,Priority collections review,Severe delinquency history,High,1935.483870967742,1915.6317096774194,0.7106222222222222,0,3,6,3442.539043593648,1
674,High Risk,0.9897221,Priority collections review,Severe delinquency history,High,967.741935483871,957.7955806451613,0.0766666666666666,0,7,6,244.94897427831785,1
21534,High Risk,0.98972195,Hardship outreach,Persistent delayed payments,High,967.741935483871,957.795435483871,0.9610166666666669,2,2,3,1391.8934944887126,1
2435,High Risk,0.9896896,Priority collections review,Severe delinquency history,High,3870.967741935484,3831.056516129032,0.6715708333333333,0,3,6,5659.084970204989,1
9165,High Risk,0.98954844,Hardship outreach,Persistent delayed payments,High,967.741935483871,957.6275225806452,0.9445611111111112,2,2,3,1339.7424254932985,1
9903,High Risk,0.9893974,Priority collections review,Severe delinquency history,High,1935.483870967742,1914.9627096774193,0.0079166666666666,0,4,6,199.37402037376887,1
7803,High Risk,0.9892754,Hardship outreach,Persistent delayed payments,High,1612.9032258064515,1595.6054838709676,0.64963,0,2,6,1253.1906080082151,1
2252,High Risk,0.98903507,Hardship outreach,Persistent delayed payments,High,1612.9032258064515,1595.2178548387096,0.0962366666666666,2,2,3,1183.3468496880646,0
16248,High Risk,0.98894835,Hardship outreach,Persistent delayed payments,High,1612.9032258064515,1595.0779838709677,0.6685499999999999,2,2,3,2335.479800811816,1
21812,High Risk,0.9889337,Priority collections review,Severe delinquency history,High,645.1612903225806,638.0217419354839,0.9829333333333332,0,3,6,1166.147103356462,1
5925,High Risk,0.9888868,Priority collections review,Severe delinquency history,High,10967.741935483871,10845.855225806452,1.1365426470588236,3,4,3,157445.33457775114,1
23,High Risk,0.9888371,Hardship outreach,Persistent delayed payments,High,2258.064516129032,2232.8579677419357,0.6320833333333334,2,2,3,2194.01890754539,1
22507,High Risk,0.98877865,Hardship outreach,Persistent delayed payments,High,1935.483870967742,1913.765129032258,0.7477777777777778,0,2,6,1820.573828952472,1
18013,High Risk,0.9887672,Priority collections review,Severe delinquency history,High,3548.3870967741937,3508.5287741935485,0.5673409090909092,2,3,3,5141.610049391144,1
25549,High Risk,0.98873305,Hardship outreach,Persistent delayed payments,High,967.741935483871,956.838435483871,0.6401,0,2,6,1375.4599230802764,1
3486,High Risk,0.9886827,Hardship outreach,Persistent delayed payments,High,1612.9032258064515,1594.6495161290322,0.8639433333333333,2,2,3,3261.736924809644,1
23778,High Risk,0.9886812,Hardship outreach,Persistent delayed payments,High,2258.064516129032,2232.505935483871,0.3157428571428571,0,2,6,1875.1755117854968,1
907,High Risk,0.9886268,Hardship outreach,Persistent delayed payments,High,1612.9032258064515,1594.5593548387096,0.0558633333333333,1,2,3,1930.6562010535863,1
7003,High Risk,0.9885592,Hardship outreach,Persistent delayed payments,High,2580.6451612903224,2551.1205161290322,0.6297125,0,2,6,1351.3162472197248,0
16789,High Risk,0.98852855,Priority collections review,Severe delinquency history,High,967.741935483871,956.6405322580645,0.0793,0,7,6,0.0,1
16470,High Risk,0.9883874,Hardship outreach,Persistent delayed payments,High,967.741935483871,956.503935483871,0.6396944444444445,0,2,6,941.688996785386,1
11246,High Risk,0.9883853,Hardship outreach,Persistent delayed payments,High,16129.032258064515,15941.698387096774,0.5502660000000001,2,2,3,10315.68770368704,1
24330,High Risk,0.9883712,Hardship outreach,Persistent delayed payments,High,967.741935483871,956.4882580645161,0.7741555555555556,2,2,3,1756.639253423043,1
21213,High Risk,0.98835516,Hardship outreach,Persistent delayed payments,High,645.1612903225806,637.6484903225806,0.8707666666666666,2,2,3,1405.8914135404152,0
15087,High Risk,0.9883471,Hardship outreach,Persistent delayed payments,High,8387.096774193547,8289.362774193547,0.5761948717948718,2,2,3,7520.674428976877,1
29139,High Risk,0.9883455,Hardship outreach,Persistent delayed payments,High,2258.064516129032,2231.7479032258066,0.6465000000000001,0,2,6,1735.2195250169357,1
17586,High Risk,0.9882613,Priority collections review,Severe delinquency history,High,645.1612903225806,637.587935483871,0.7887666666666667,0,3,6,781.7131613748527,1
26644,High Risk,0.98816574,Hardship outreach,Persistent delayed payments,High,645.1612903225806,637.5262838709677,0.5461583333333333,2,2,3,1686.4128102770885,1
16544,High Risk,0.98808426,Priority collections review,Severe delinquency history,High,645.1612903225806,637.4737161290323,0.5109333333333334,2,3,2,2237.652847665756,1
7409,High Risk,0.98796576,Priority collections review,Severe delinquency history,High,967.741935483871,956.0958967741935,0.949961111111111,0,3,6,1669.98436120422,1
1880,High Risk,0.9879331,Hardship outreach,Persistent delayed payments,High,967.741935483871,956.0642903225806,0.5782611111111111,0,2,6,765.7141546730521,1
20914,High Risk,0.9878978,Hardship outreach,Persistent delayed payments,High,645.1612903225806,637.3534193548387,0.533525,2,2,3,1413.9432449713108,1
26765,High Risk,0.98789704,Hardship outreach,Persistent delayed payments,High,6129.032258064516,6054.852825806452,0.6563842105263158,2,2,3,7110.619691700576,1
17414,High Risk,0.987698,Hardship outreach,Persistent delayed payments,High,967.741935483871,955.8367741935483,0.5606888888888889,0,2,6,1053.4679238907402,1
2393,High Risk,0.9876303,Priority collections review,Severe delinquency history,High,1612.9032258064515,1592.9520967741933,0.8308,0,3,6,1918.775338594907,1
16452,High Risk,0.9875572,Hardship outreach,Persistent delayed payments,High,967.741935483871,955.7005161290323,0.5416888888888889,0,2,6,921.743926840132,1
21848,High Risk,0.98755556,Hardship outreach,Persistent delayed payments,High,1612.9032258064515,1592.8315483870967,0.5861500000000001,2,2,3,2358.0022688708336,1
16635,High Risk,0.9874737,Hardship outreach,Persistent delayed payments,High,967.741935483871,955.6197096774193,0.29545,2,2,3,1280.5314131250354,1
4570,High Risk,0.987316,Hardship outreach,Persistent delayed payments,High,967.741935483871,955.4670967741936,0.5844722222222222,0,2,6,1261.2272462433828,1
2855,High Risk,0.98730785,Hardship outreach,Persistent delayed payments,High,1612.9032258064515,1592.432016129032,0.3477633333333333,0,2,6,1272.0813522203157,1
15537,High Risk,0.9872716,Hardship outreach,Persistent delayed payments,High,1612.9032258064515,1592.3735483870967,0.65965,0,2,6,1829.8623718739068,1
21247,High Risk,0.9872564,Hardship outreach,Persistent delayed payments,High,3225.806451612903,3184.698064516129,0.281825,0,2,6,2036.8727746229024,1
27858,High Risk,0.98717636,Priority collections review,Severe delinquency history,High,645.1612903225806,636.8879741935483,0.6890666666666666,0,3,6,1243.2992667361573,1
14543,High Risk,0.98716056,Hardship outreach,Persistent delayed payments,High,1612.9032258064515,1592.194451612903,0.6126666666666667,2,2,3,2100.505431239507,1
22417,High Risk,0.98711187,Hardship outreach,Persistent delayed payments,High,4193.548387096774,4139.50139032258,0.8502230769230769,2,2,3,2867.4975850033425,0
7993,High Risk,0.98708665,Priority collections review,Severe delinquency history,High,1612.9032258064515,1592.0752419354837,0.6748833333333333,0,3,6,1166.127508751366,1
17941,High Risk,0.9869871,Hardship outreach,Persistent delayed payments,High,2258.064516129032,2228.6805483870967,0.6483595238095238,0,2,6,1769.9515718421978,1
7369,High Risk,0.9869551,Hardship outreach,Persistent delayed payments,High,967.741935483871,955.1178387096774,0.5467888888888889,0,2,6,717.0828868873294,1
7308,High Risk,0.98690283,Hardship outreach,Persistent delayed payments,High,967.741935483871,955.0672548387097,0.8651722222222222,2,2,3,1134.7823433005408,1
9672,High Risk,0.9868912,Priority collections review,Severe delinquency history,High,5483.870967741936,5411.984,0.0141176470588235,0,7,6,0.0,0
7311,High Risk,0.9867942,Priority collections review,Severe delinquency history,High,2903.2258064516127,2864.886387096774,0.936785185185185,0,3,6,1734.859264224815,1
6885,High Risk,0.9866627,Hardship outreach,Persistent delayed payments,High,3548.3870967741937,3501.061193548387,0.8734378787878788,2,2,3,2220.8979640376697,1
21450,High Risk,0.9865392,Hardship outreach,Persistent delayed payments,High,2258.064516129032,2227.6691612903223,0.6579285714285714,0,2,6,1765.9744052505405,1
17925,High Risk,0.98653513,Hardship outreach,Persistent delayed payments,High,1290.3225806451612,1272.9485548387097,0.6744208333333334,0,2,6,1697.6785816716506,1
25033,High Risk,0.98645693,Hardship outreach,Persistent delayed payments,High,2258.064516129032,2227.483390322581,0.3299404761904762,0,2,6,1794.4209558146235,1
25634,High Risk,0.98644596,Hardship outreach,Persistent delayed payments,High,2258.064516129032,2227.4586193548384,0.6521428571428571,0,2,6,2272.788067550514,1
17236,High Risk,0.9863992,Hardship outreach,Persistent delayed payments,High,1290.3225806451612,1272.7731612903226,0.5971375,0,2,6,956.91812606931,1
19989,High Risk,0.9863376,Hardship outreach,Persistent delayed payments,High,1612.9032258064515,1590.8670967741934,0.7465633333333334,2,2,3,2093.993927084476,1
17526,High Risk,0.9862684,Hardship outreach,Persistent delayed payments,High,3548.3870967741937,3499.6620645161292,0.2441515151515151,0,2,6,2577.801595675405,1
22479,High Risk,0.98626024,Hardship outreach,Persistent delayed payments,High,1612.9032258064515,1590.7423225806451,0.5241033333333333,2,2,3,1976.3509219434357,1
934,High Risk,0.98623776,Hardship outreach,Persistent delayed payments,High,967.741935483871,954.4236387096774,0.3617333333333333,2,2,3,2002.2914872715207,1
16026,High Risk,0.98617876,Priority collections review,Severe delinquency history,High,967.741935483871,954.366541935484,0.0968055555555555,2,3,3,4335.343419691993,1
10664,High Risk,0.98616576,Hardship outreach,Persistent delayed payments,High,1612.9032258064515,1590.589935483871,0.8462166666666667,2,2,3,2898.6746224208514,1
22901,High Risk,0.9860837,Hardship outreach,Persistent delayed payments,High,967.741935483871,954.2745483870968,0.6558166666666666,0,2,6,1004.482702688304,1
8125,High Risk,0.9860598,Priority collections review,Severe delinquency history,High,6451.612903225806,6361.676129032257,0.0124999999999999,0,4,6,0.0,1
24156,High Risk,0.9860598,Priority collections review,Severe delinquency history,High,6451.612903225806,6361.676129032257,0.0124999999999999,0,4,6,0.0,1
17141,High Risk,0.9860253,Hardship outreach,Persistent delayed payments,High,1612.9032258064515,1590.363387096774,0.71528,0,2,6,1479.142319048441,1
20282,High Risk,0.9857744,Priority collections review,Severe delinquency history,High,967.741935483871,953.9752258064517,0.7837722222222222,0,3,6,1109.4552567213634,1
4839,High Risk,0.985729,Hardship outreach,Persistent delayed payments,High,1612.9032258064515,1589.8854838709676,0.3220166666666667,0,2,6,1243.7654789656556,1
20803,High Risk,0.98571765,Hardship outreach,Persistent delayed payments,High,3225.806451612903,3179.7343548387094,0.62174,2,2,3,16006.12817642043,1
16375,High Risk,0.9857113,Hardship outreach,Persistent delayed payments,High,2580.6451612903224,2543.771096774193,0.250825,0,2,6,990.7181233832356,1
25197,High Risk,0.9856807,Hardship outreach,Persistent delayed payments,High,967.741935483871,953.8845483870967,0.4685444444444444,0,2,6,1322.3708506567536,1
9833,High Risk,0.9856655,Hardship outreach,Persistent delayed payments,High,3225.806451612903,3179.566129032258,0.2112933333333333,0,2,6,2520.273133346199,1
10702,High Risk,0.9855767,Hardship outreach,Persistent delayed payments,High,1612.9032258064515,1589.6398387096772,0.5814933333333333,0,2,6,1646.6259644092422,1
16478,High Risk,0.98554105,Hardship outreach,Persistent delayed payments,High,2580.6451612903224,2543.331741935484,0.6311874999999999,0,2,6,1741.0883952286856,1
11267,High Risk,0.98544645,Hardship outreach,Persistent delayed payments,High,2258.064516129032,2225.2016612903226,0.2610785714285714,0,2,6,932.6535798462364,1
2542,High Risk,0.9854199,Hardship outreach,Persistent delayed payments,High,3225.806451612903,3178.773870967742,0.5232,2,2,3,3299.26197807934,1
7735,High Risk,0.985414,Hardship outreach,Persistent delayed payments,High,967.741935483871,953.6264516129032,0.6918166666666666,0,2,6,1265.7656576159743,1
