risk_tier,sex_label,education_label,marriage_label,account_count,default_rate_pct,avg_risk_score,avg_credit_limit_usd,tier_color
Low Risk,Male,Other,Single,13,7.6923076923076925,0.32810157746153845,5558.312655086848,#2E7D32
Low Risk,Male,Undocumented,Married,32,9.375,0.33068104753125,6844.758064516129,#2E7D32
Low Risk,Male,Undocumented,Single,20,0.0,0.2561632328,5016.129032258064,#2E7D32
Low Risk,Male,University,Married,841,13.793103448275861,0.32434402683614744,7232.173679567335,#2E7D32
Low Risk,Male,University,Other,15,6.666666666666667,0.3306611854,3892.47311827957,#2E7D32
Low Risk,Male,University,Single,793,10.34047919293821,0.33043670841286255,5500.955945165358,#2E7D32
Low Risk,Male,University,Undocumented,1,0.0,0.44755122,11612.90322580645,#2E7D32
Medium Risk,Female,Graduate School,Married,745,20.671140939597315,0.5026481975405369,7165.620264126434,#F9A825
Medium Risk,Female,Graduate School,Other,15,20.0,0.5402560944,5849.462365591398,#F9A825
Medium Risk,Female,Graduate School,Single,1677,20.155038759689923,0.49770560860971974,5107.430703829803,#F9A825
Medium Risk,Female,Graduate School,Undocumented,1,0.0,0.23039879,1612.9032258064515,#F9A825
Medium Risk,Female,High School,Married,908,24.33920704845815,0.5113905735396476,3601.6768509307944,#F9A825
Medium Risk,Female,High School,Other,41,26.82926829268293,0.5773876029268292,1872.5413060582218,#F9A825
Medium Risk,Female,High School,Single,526,21.292775665399237,0.5018855411722434,3714.5835888629954,#F9A825
Medium Risk,Female,High School,Undocumented,13,7.6923076923076925,0.6183292923076924,3200.9925558312652,#F9A825
Medium Risk,Female,Other,Married,11,0.0,0.4090247945454546,7829.912023460411,#F9A825
Medium Risk,Female,Other,Other,1,0.0,0.36126375,4838.709677419355,#F9A825
Medium Risk,Female,Other,Single,18,0.0,0.38648983249999996,6971.326164874552,#F9A825
Medium Risk,Female,Undocumented,Married,62,6.451612903225806,0.4441830708064516,5332.986472424557,#F9A825
Medium Risk,Female,Undocumented,Other,3,0.0,0.44916986999999997,5376.344086021505,#F9A825
Medium Risk,Female,Undocumented,Single,55,14.545454545454545,0.4325271754909091,4017.595307917888,#F9A825
Medium Risk,Female,University,Married,2014,22.244289970208538,0.5002642800578451,4601.114777204728,#F9A825
Medium Risk,Female,University,Other,61,18.0327868852459,0.4917866478688524,2871.4965626652565,#F9A825
Medium Risk,Female,University,Single,2000,21.05,0.4953901554665,3945.9677419354834,#F9A825
Medium Risk,Female,University,Undocumented,1,0.0,0.620946,1612.9032258064515,#F9A825
Medium Risk,Male,Graduate School,Married,625,26.08,0.5103835204648001,7478.193548387097,#F9A825
Medium Risk,Male,Graduate School,Other,17,35.294117647058826,0.5130015311764705,4212.523719165086,#F9A825
Medium Risk,Male,Graduate School,Single,1155,19.74025974025974,0.4868422496735931,5278.313084764697,#F9A825
Medium Risk,Male,High School,Married,497,27.364185110663986,0.5297132436659959,3917.0506912442393,#F9A825
Medium Risk,Male,High School,Other,24,33.33333333333333,0.5262702275,2392.47311827957,#F9A825
Medium Risk,Male,High School,Single,514,22.56809338521401,0.5202221688599221,2830.2799046065015,#F9A825
Medium Risk,Male,High School,Undocumented,3,0.0,0.29925550666666667,2150.537634408602,#F9A825
Medium Risk,Male,Other,Married,7,28.57142857142857,0.4525137714285714,6405.529953917051,#F9A825
Medium Risk,Male,Other,Single,9,11.11111111111111,0.38773761444444443,5519.713261648746,#F9A825
Medium Risk,Male,Undocumented,Married,26,11.538461538461538,0.3513702467692308,6786.600496277915,#F9A825
Medium Risk,Male,Undocumented,Other,1,0.0,0.62842363,3225.806451612903,#F9A825
Medium Risk,Male,Undocumented,Single,38,2.631578947368421,0.4580428552368421,3709.677419354839,#F9A825
Medium Risk,Male,University,Married,1155,25.541125541125542,0.5019712250888312,4456.919424661361,#F9A825
Medium Risk,Male,University,Other,41,31.70731707317073,0.5692020419512195,1660.1101494885916,#F9A825
Medium Risk,Male,University,Single,1586,23.076923076923077,0.5062986642165196,3181.4668673473534,#F9A825
